BusID,RouteType,TimeStep,SoC,Voltage,Current,Temperature,CycleCount,AhThroughput,CalendarAge,Capacity,SoH,AvgDoD,Speed,Passengers,IsCharging,IsRegenerating
Bus-001,CITY_CENTER,102,0.8721077,358.18872,-60.423317,26.302086,0.32854322,268.71838,0.07083344,300.0,100.0,0.32799187,15.0,21,false,false
Bus-001,CITY_CENTER,103,0.86425555,358.58566,75.950165,26.352055,0.33639535,275.28763,0.07152788,300.0,100.0,0.32799187,15.0,21,false,false
Bus-001,CITY_CENTER,104,0.85613537,358.19235,173.16513,26.403557,0.34451553,281.95428,0.07222233,300.0,100.0,0.32799187,30.0,20,false,false
Bus-001,CITY_CENTER,105,0.8529208,357.79868,169.73108,26.410429,0.34773013,284.6496,0.072916776,300.0,100.0,0.32799187,30.0,19,false,false
Bus-001,CITY_CENTER,106,0.8494346,357.63727,171.44969,26.418844,0.3512163,287.5739,0.07361122,300.0,100.0,0.32799187,30.0,18,false,false
Bus-001,CITY_CENTER,107,0.8458336,357.46268,174.4138,26.42796,0.35481733,290.59607,0.07430567,300.0,100.0,0.32799187,30.0,18,false,false
Bus-001,CITY_CENTER,108,0.84226793,357.2827,175.98114,26.43687,0.35838297,293.59003,0.075000115,300.0,100.0,0.32799187,21.0,17,false,true
Bus-001,CITY_CENTER,109,0.8466212,357.1244,57.361694,26.45107,0.36273625,297.24698,0.07569456,300.0,100.0,0.33872557,21.0,16,false,true
Bus-001,CITY_CENTER,110,0.85095865,357.34198,-25.391872,26.465134,0.36707366,300.88837,0.07638901,300.0,100.0,0.34822708,0.0,15,true,false
Bus-001,CITY_CENTER,111,0.859292,357.54794,-17.774311,26.463284,0.36707366,300.88837,0.07708345,300.0,100.0,0.34822708,0.0,15,true,false
Bus-001,CITY_CENTER,112,0.8676253,357.9646,-12.442018,26.461437,0.36707366,300.88837,0.0777779,300.0,100.0,0.34822708,15.0,14,false,false
Bus-001,CITY_CENTER,113,0.86040777,358.36313,100.048065,26.5034,0.37429118,306.93045,0.078472346,300.0,100.0,0.34822708,15.0,13,false,false
Bus-001,CITY_CENTER,114,0.853538,358.0031,173.65526,26.541313,0.38116097,312.6872,0.07916679,300.0,100.0,0.34822708,30.0,13,false,false
Bus-001,CITY_CENTER,115,0.85347265,357.67676,122.544815,26.539452,0.3812263,312.74197,0.07986124,300.0,100.0,0.34822708,30.0,12,false,false
Bus-001,CITY_CENTER,116,0.8539738,357.6749,78.21519,26.537802,0.38172746,313.16232,0.080555685,300.0,100.0,0.31841594,30.0,12,false,false
Bus-001,CITY_CENTER,117,0.85495025,357.70117,40.009464,26.536749,0.38270393,313.98126,0.08125013,300.0,100.0,0.29633904,30.0,11,false,false
Bus-001,CITY_CENTER,118,0.85627586,357.75082,7.997711,26.536375,0.38402954,315.09286,0.08194458,300.0,100.0,0.27996105,21.0,10,false,true
Bus-001,CITY_CENTER,119,0.860518,357.82446,-58.420425,26.549702,0.38827166,318.64948,0.08263902,300.0,100.0,0.2943862,21.0,10,false,true
